200
1,110,2
21,110,1
21,130,2
1,13,3
21,137,3
1,89,5
89,112,1
112,113,1
89,129,3
113,183,4
52,110,5
52,91,1
91,104,5
124,129,5
39,124,2
124,135,5
74,135,1
154,183,5
1,59,6
39,49,6
4,49,5
48,74,6
48,162,2
48,158,3
48,98,4
79,98,1
9,79,1
7,9,2
7,174,2
79,93,3
93,106,2
85,106,1
106,143,1
93,156,3
108,174,3
174,188,3
14,188,2
14,148,2
46,48,4
46,160,3
20,93,4
20,163,1
90,163,2
90,94,1
56,163,3
149,163,3
122,158,4
102,122,2
102,123,1
5,102,1
5,194,1
123,125,2
125,200,1
103,123,2
103,169,2
18,122,4
18,176,2
50,176,2
23,50,3
111,125,4
116,125,4
32,188,4
32,141,4
109,141,4
77,141,4
5,193,5
171,193,1
71,193,2
71,153,4
152,171,4
118,171,4
50,190,5
27,90,5
84,94,5
84,146,2
33,146,2
57,84,3
57,105,3
35,57,5
2,122,5
2,100,2
2,139,3
36,146,5
64,158,5
15,64,2
15,114,1
40,114,3
161,162,5
69,161,5
69,168,4
61,69,5
61,131,1
22,61,2
22,126,3
61,70,4
38,70,3
131,150,4
22,199,5
61,92,5
92,184,1
173,184,1
65,173,4
68,92,5
140,173,5
16,194,5
9,10,6
10,24,6
18,34,6
27,75,6
75,195,1
75,82,3
155,195,3
142,195,4
67,142,2
67,97,2
35,164,6
12,164,1
12,29,1
17,164,3
17,19,2
48,53,6
75,133,6
79,83,6
89,167,6
31,167,2
31,63,1
30,31,2
30,37,2
81,167,2
31,42,3
37,145,3
37,58,4
55,58,1
58,99,1
25,145,4
25,178,2
42,101,5
101,182,6
11,106,6
8,122,6
8,78,1
122,185,6
87,140,6
3,152,6
3,165,3
26,165,4
26,86,3
96,165,4
162,189,6
18,177,7
23,62,7
62,191,4
88,191,1
34,175,7
65,198,7
72,87,7
72,119,3
72,159,5
28,88,7
28,80,1
28,115,5
28,138,5
41,138,1
134,138,4
76,115,5
60,119,7
124,196,7
134,157,7
157,197,7
128,159,7
95,128,4
121,195,7
54,121,7
54,66,4
2,107,8
19,151,8
51,56,8
51,172,4
44,62,8
44,170,8
77,117,8
101,192,8
180,182,8
4,120,9
88,147,9
103,127,9
104,132,9
45,135,9
1,186,10
23,166,10
36,43,10
43,47,8
47,179,6
136,179,3
73,98,10
6,99,10
130,144,10
180,181,10
187,188,10
