100
1,14,6
14,75,2
14,37,2
37,49,2
14,43,3
14,89,4
6,14,4
6,45,1
6,83,3
39,83,3
39,77,1
8,77,2
8,78,1
23,78,2
23,97,1
39,96,3
40,77,3
78,98,3
11,98,1
23,61,4
61,82,2
30,83,4
30,70,3
17,70,3
9,96,4
9,46,1
46,60,2
60,64,2
2,60,2
64,71,3
9,20,4
9,19,4
19,35,2
27,60,4
27,63,3
56,96,4
56,72,2
72,100,3
7,97,4
7,90,1
22,90,3
22,51,4
32,98,4
7,91,5
79,91,2
79,92,1
59,91,3
76,91,3
76,93,4
18,93,1
13,18,3
21,79,4
88,92,4
32,41,5
44,46,5
28,44,1
54,59,5
47,61,5
47,68,4
8,57,6
10,13,6
10,86,3
23,29,6
28,52,6
12,52,4
26,56,6
26,38,4
38,81,6
74,81,3
59,80,6
80,85,2
33,78,6
33,99,1
31,86,6
31,62,4
25,62,1
58,90,6
69,92,6
7,24,7
7,67,7
11,87,7
19,65,7
65,94,2
16,25,7
16,42,3
15,42,1
3,16,7
35,95,7
4,95,1
45,50,7
5,33,9
34,70,9
34,66,9
66,73,1
48,88,9
4,55,10
12,53,10
53,84,5
36,52,10
