400
1,52,4
52,298,4
184,298,1
184,358,3
84,298,3
52,351,4
84,306,4
123,306,3
123,282,3
282,304,2
182,304,3
121,182,1
121,227,1
121,135,1
135,157,1
135,324,2
324,393,1
171,324,1
171,220,1
119,220,1
220,232,1
324,328,1
219,328,1
210,219,1
328,398,1
393,395,1
372,398,1
372,399,1
34,399,1
34,161,1
65,161,1
161,201,1
34,385,2
178,385,1
178,251,1
80,178,1
86,251,1
41,86,1
86,266,1
41,96,2
96,354,1
80,289,2
85,289,1
85,218,1
86,120,2
120,272,2
68,157,2
68,389,1
160,389,1
160,198,1
46,157,2
21,46,2
21,208,2
21,45,2
45,113,1
45,152,1
55,113,1
55,352,1
137,152,1
137,215,1
81,215,1
245,352,1
340,352,1
199,340,1
21,128,2
128,195,1
10,46,2
55,392,2
128,151,2
150,151,1
137,193,2
137,311,2
197,311,1
197,365,1
197,310,1
216,365,1
150,241,2
160,213,2
161,181,2
161,377,2
178,288,2
25,181,2
25,269,1
269,290,1
28,181,2
149,182,2
149,271,2
22,218,2
218,355,2
139,355,1
139,371,1
238,355,1
175,371,1
230,232,2
93,230,2
93,236,1
93,144,1
40,236,1
230,248,2
109,236,2
217,238,2
79,245,2
79,350,1
83,248,2
180,266,2
172,269,2
172,286,1
286,366,1
111,271,2
111,166,1
166,168,1
168,312,1
108,271,2
108,300,2
300,349,1
349,370,1
63,370,1
108,231,2
231,359,1
226,231,1
17,226,1
42,226,2
73,226,2
73,333,1
231,314,2
18,271,2
18,29,1
18,356,2
299,356,1
7,272,2
244,286,2
164,289,2
164,242,1
164,263,2
13,263,1
13,274,2
12,242,2
229,290,2
186,229,2
136,299,2
9,300,2
239,311,2
187,324,2
5,333,2
5,338,2
340,373,2
297,373,1
340,374,2
115,352,2
38,352,2
344,370,2
344,364,2
295,364,1
58,344,2
101,372,2
124,373,2
59,124,1
261,385,2
69,392,2
330,398,2
105,330,1
105,126,1
72,330,1
76,330,1
320,398,2
5,188,3
10,291,3
29,329,3
34,49,3
59,99,3
2,99,1
99,343,1
2,335,3
87,335,2
63,103,3
103,145,2
145,278,1
30,278,1
177,278,2
69,334,3
80,296,3
93,169,3
111,342,3
113,189,3
119,363,3
315,363,1
138,315,2
124,293,3
277,293,2
75,277,2
50,75,2
293,321,2
43,144,3
152,369,3
294,369,1
172,397,3
130,397,1
11,178,3
11,258,1
88,178,3
182,347,3
143,347,1
118,143,1
118,212,2
212,383,1
98,212,1
182,380,3
195,279,3
16,279,2
16,339,2
279,318,2
259,318,1
16,155,3
102,155,2
16,283,3
176,283,1
176,307,1
47,176,1
71,283,2
71,156,2
283,313,2
71,302,3
302,327,2
197,267,3
213,262,3
215,353,3
264,353,1
15,215,3
219,285,3
33,219,3
33,357,3
233,357,2
33,67,3
67,127,1
127,396,2
190,396,2
237,396,2
158,237,2
20,226,3
20,275,2
20,122,3
225,229,3
53,233,3
3,238,3
3,305,3
6,305,1
258,273,3
26,269,3
26,91,3
95,274,3
283,367,3
77,367,2
57,283,3
265,286,3
132,286,3
100,132,2
89,132,3
288,301,3
54,301,2
54,185,1
54,391,1
185,260,3
90,260,1
114,293,3
221,299,3
221,243,1
174,243,1
153,174,3
44,305,3
307,375,3
255,311,3
268,320,3
222,333,3
154,222,1
222,387,1
342,362,3
31,362,1
61,356,3
223,357,3
223,308,3
163,366,3
163,246,2
140,246,2
165,367,3
203,369,3
64,389,3
64,379,2
280,392,3
192,280,2
162,280,3
326,393,3
326,348,1
234,396,3
360,397,3
173,360,3
60,397,3
60,270,3
7,207,4
25,381,4
30,107,4
33,384,4
41,74,4
74,148,1
110,148,1
45,183,4
54,323,4
59,194,4
81,129,4
86,257,4
87,303,4
62,90,4
102,317,4
78,317,3
111,200,4
106,114,4
37,106,1
114,336,4
124,394,4
130,131,4
131,368,2
139,284,4
140,382,4
133,153,4
70,154,4
32,70,3
32,167,2
157,254,4
163,376,4
181,332,4
116,195,4
222,309,4
170,229,4
249,255,4
27,249,1
249,390,4
240,260,4
159,269,4
159,388,2
275,325,4
224,349,4
179,359,4
179,206,4
94,362,4
94,141,3
51,397,4
1,36,5
36,378,3
9,196,5
21,256,5
25,146,5
28,250,5
78,322,5
209,322,4
81,191,5
66,94,5
140,202,5
166,386,5
180,341,5
276,341,3
188,211,5
207,253,5
256,361,5
277,346,5
39,290,5
82,302,5
247,306,5
23,318,5
134,334,5
48,367,5
316,397,5
292,316,4
22,235,6
44,214,6
54,104,6
155,345,6
35,156,6
211,337,6
331,351,6
8,393,6
50,112,7
14,63,7
14,281,4
281,319,2
125,281,3
56,103,7
152,252,7
204,252,5
19,225,7
357,400,7
28,142,8
4,142,6
142,205,7
103,287,8
97,287,5
114,228,8
92,228,5
117,294,8
147,337,8
24,124,9
